Date,Open,High,Low,Close,Volume,Total Income From Operations,Net P/L After M.I & Associates,Basic EPS,EPS_TTM,Annualized_Sales,Annualized_Profit,Equity Share Capital,Reserves,Borrowings,Total,Avg_Assets,Cash from Operating Activity,Daily_PE,Total_Equity,Net_Margin,Asset_Turnover,Equity_Multiplier,DuPont_ROE,Debt_to_Equity,Earnings_Quality,Earnings_Yield
2020-03-02,568.4000622917009,568.8500053945262,552.2744321654279,558.6441650390625,14664898.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.26396693844767,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.10072604898203
2020-03-03,556.4656759635528,561.367298227923,553.1505612982381,559.6860961914062,22369550.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.279380121174647,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.078198915429477
2020-03-04,558.0522006667385,558.833632138287,536.6223516377066,544.0813598632812,34288870.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.048540826379899,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.42461238094736
2020-03-05,546.0467512820113,551.7298050681208,541.1924761730429,545.2653198242188,19549708.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,8.066055026985483,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.397634241948987
2020-03-06,532.7863828197628,540.31644192582,521.420273319608,537.4749145507812,23053566.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.950812345425757,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.577331177679193
2020-03-09,525.6824725647729,529.6606217571953,504.3710209743091,524.40380859375,34420590.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.757452789848371,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.890829336514031
2020-03-11,523.3144603666055,530.4182765706771,517.1578196564101,527.4820556640625,35538240.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.8029889891133495,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,12.815601834056023
2020-03-12,509.10687137657914,511.4748103132144,475.2216709744296,483.6752014160156,59000770.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.154958600828633,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,13.97632125899635
2020-03-13,464.13972221452224,512.1615082677355,435.32191586076743,506.6442565917969,66342364.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.49473752354729,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,13.342695416059025
2020-03-16,490.1633803351871,491.1105559493614,471.2198680517016,473.35101318359375,31986322.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,7.002233922834226,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,14.281156713988208
2020-03-17,477.37652201378086,478.3236976526971,452.1342970177646,461.79547119140625,42676838.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.831293952535595,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,14.638515147321785
2020-03-18,466.4840180328291,470.2727207173597,409.6534777648702,415.2891845703125,61181406.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.14333113269693,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,16.277813752829548
2020-03-19,401.1288983050212,435.67713682679727,376.50233075855004,424.12158203125,67220048.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.273987899870561,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,15.938825766951686
2020-03-20,414.38934181029646,433.14340788887984,390.4968305499615,418.10699462890625,88637464.0,31200.92,7659.65,14.0,67.60000000000001,113092.04,,544.66,153128.0,1080235.46,1292805.71,1197995.94,-62871.54,6.185014713445358,153672.66,0.2454943636277392,0.09440102109194126,8.412724228239428,0.19496419918339017,7.029457679719997,,16.168110284784607
